instant,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,user_activity_level,user_type,income_level,zone_type,user_satisfaction,bike_infrastructure_score,air_pollution_index,public_transport_access
84.0,1.0,0.28,0.2727,0.52,0.2537,17.0,48.0,65.0,faible,frequent,43072,residentiel,3,6,95,10
85.0,1.0,0.3,0.2879,0.49,0.2537,15.0,68.0,83.0,moyen,occasionnel,32643,residentiel,3,7,73,3
8678.806666277509,1.0,0.28,0.2727,0.48,0.2239,10.0,202.0,212.0,moyen,occasionnel,68901,residentiel,5,10,32,10
87.0,1.0,0.26,0.2576,0.48,0.194,3.0,179.0,189.44106486076245,moyen,occasionnel,71832,commercial,2,9,72,8
88.0,1.0,0.24,0.2576,0.48,0.1045,2.0,110.0,112.0,faible,occasionnel,70879,residentiel,4,7,81,7
89.0,1.0,0.24,0.2576,0.48,0.1045,1.0,53.0,54.0,élevé,frequent,25324,residentiel,3,8,78,3
90.0,1.0,0.22,0.2727,0.64,0.0,0.0,48.0,48.0,élevé,occasionnel,87714,commercial,5,2,67,7
91.0,1.0,0.22,0.2576,0.64,0.0896,1.0,34.0,35.0,moyen,frequent,87277,commercial,5,2,57,2
92.0,1.0,0.2,0.2273,0.6267715067854855,0.0896,2.0,9.0,11.0,faible,frequent,43839,residentiel,5,3,99,2
93.0,1.0,0.2,0.2576,0.64,0.0,0.0,6.0,6.0,élevé,frequent,40002,residentiel,1,5,3,3
94.0,1.0,0.16,0.197,0.74,0.0896,0.0,6.0,6.0,élevé,occasionnel,64254,residentiel,4,1,47,8
95.0,1.0,0.16,0.197,0.74,0.0896,0.0,2.0,2.0,élevé,frequent,31799,commercial,3,9,96,5
96.0,1.0,0.4973845615671642,0.2273,0.48,0.2239,0.0,2.0,2.0,faible,occasionnel,71138,residentiel,2,8,56,6
97.0,1.0,0.22,0.2273,0.47,0.1642,0.0,3.0,3.0,faible,occasionnel,37213,residentiel,2,3,8,3
98.0,1.0,0.2,0.197,0.47,0.2239,0.0,33.0,33.0,élevé,frequent,56343,commercial,2,5,15,6
99.0,1.0,0.18,0.1818,0.43,0.194,1.0,87.0,88.0,moyen,frequent,92598,residentiel,3,8,4,2
100.0,1.0,0.2,0.1818,0.4,0.2985,3.0,192.0,195.0,élevé,occasionnel,23545,commercial,1,3,96,10
101.0,1.0,0.22,0.197,0.37,0.3284,6.0,109.0,115.0,moyen,frequent,99460,residentiel,5,4,66,6
102.0,1.0,0.22,0.197,0.37,0.3284,4.0,53.0,57.0,moyen,occasionnel,25593,residentiel,3,8,13,1
103.0,1.0,0.26,0.2273,0.33,0.3284,12.0,34.0,46.0,moyen,frequent,42963,residentiel,2,8,20,2
104.0,1.0,0.26,0.2273,0.33,0.3284,35.62439423133065,74.0,79.0,moyen,frequent,40494,commercial,2,10,94,4
105.0,1.0,0.28,0.2576,0.3,0.2985,6.0,65.0,71.0,moyen,frequent,62711,commercial,3,4,39,10
106.0,1.0,0.3,0.2879,0.28,0.194,10.0,52.0,62.0,élevé,occasionnel,31616,commercial,4,7,51,1
107.0,1.0,0.3,0.2879,0.28,0.194,7.0,55.0,62.0,élevé,occasionnel,58456,residentiel,3,7,75,9
108.0,1.0,0.3,0.3182,0.28,0.0896,4.0,85.0,89.0,moyen,frequent,85686,residentiel,2,9,65,5
109.0,1.0,0.24,0.2273,0.38,0.194,4.0,186.0,190.0,faible,frequent,96891,commercial,1,5,57,8
110.0,1.0,0.24,0.2424,0.38,0.1343,3.0,166.0,169.0,moyen,occasionnel,50710,commercial,3,5,12,10
111.0,1.0,0.24,0.2576,0.38,0.1045,5.0,127.0,132.0,élevé,frequent,64449,residentiel,3,1,50,8
112.0,1.0,0.22,0.2273,0.47,0.1642,7.0,82.0,89.0,faible,frequent,86672,residentiel,5,10,88,4
113.0,1.0,0.2,0.197,0.51,0.194,3.0,40.0,43.0,moyen,frequent,75167,residentiel,2,5,26,2
114.0,1.0,0.18,0.197,0.55,0.1343,1.0,41.0,42.0,élevé,occasionnel,34174,residentiel,1,5,26,7
115.0,1.0,0.2,0.2576,0.47,0.0,1.0,18.0,19.0,moyen,frequent,66401,residentiel,2,9,96,7
116.0,1.0,0.18,0.2424,0.55,0.0,0.0,11.0,11.0,moyen,frequent,81557,commercial,2,10,16,8
117.0,1.0,0.16,0.2273,0.64,0.0,0.0,4.0,4.0,faible,frequent,93660,commercial,2,9,11,10
118.0,1.0,0.16,0.2273,0.64,0.0,0.0,2.0,2.0,faible,frequent,63759,commercial,4,9,66,4
119.0,2.0,0.16,0.197,0.64,0.0896,0.0,1.0,1.0,faible,occasionnel,33415,residentiel,4,9,4,2
120.0,2.0,0.14,0.1818,0.69,0.0896,0.0,4.0,4.0,faible,occasionnel,78076,commercial,1,7,63,2
121.0,2.0,0.14,0.1667,0.63,0.1045,0.0,36.0,36.0,élevé,occasionnel,22577,commercial,5,4,34,8
122.0,2.0,0.16,0.2273,0.6267715067854855,0.0,0.0,95.0,95.0,faible,occasionnel,28038,commercial,5,10,95,10
123.0,1.0,0.16,0.2273,0.59,0.0,35.62439423133065,216.0,219.0,moyen,occasionnel,83900,residentiel,4,4,27,1
124.0,2.0,0.18,0.2424,0.51,0.0,6.0,116.0,122.0,faible,frequent,84830,commercial,2,9,77,4
125.0,1.0,0.2,0.2576,0.47,0.0,3.0,42.0,45.0,élevé,occasionnel,59360,residentiel,2,9,77,10
126.0,1.0,0.22,0.2576,0.44,0.0896,2.0,57.0,59.0,faible,frequent,41037,commercial,5,9,52,6
127.0,1.0,0.26,0.2879,0.35,0.0,6.0,78.0,84.0,faible,frequent,36678,residentiel,4,7,86,2
128.0,1.0,0.26,0.2727,0.35,0.1045,12.0,55.0,67.0,moyen,frequent,70518,commercial,2,9,16,4
129.0,1.0,0.28,0.2727,0.36,0.1642,11.0,59.0,70.0,élevé,occasionnel,39200,commercial,3,3,10,10
130.0,1.0,0.28,0.2727,0.36,0.0,8.0,54.0,62.0,moyen,frequent,91298,commercial,3,8,76,2
131.0,1.0,0.26,0.2576,0.38,0.1642,12.0,74.0,86.0,moyen,occasionnel,58552,residentiel,4,2,1,9
132.0,1.0,0.22,0.2273,0.51,0.1642,9.0,163.0,172.0,faible,occasionnel,61339,commercial,1,1,98,4
133.0,1.0,0.4973845615671642,0.2273,0.51,0.1900632159104164,5.0,158.0,163.0,faible,frequent,52278,commercial,5,10,49,10
134.0,1.0,0.22,0.2576,0.55,0.0896,3.0,109.0,112.0,élevé,frequent,28923,commercial,4,3,71,5
135.0,1.0,0.2,0.2121,0.51,0.1642,3.0,66.0,69.0,moyen,occasionnel,70734,residentiel,5,5,52,6
136.0,2.0,0.4973845615671642,0.2121,0.55,0.2239,0.0,48.0,48.0,moyen,frequent,59674,commercial,5,5,81,2
137.0,2.0,0.22,0.2121,0.51,0.2836,1.0,51.0,52.0,faible,occasionnel,24131,residentiel,4,9,53,6
138.0,2.0,0.2,0.197,0.59,0.194,4.0,19.0,23.0,moyen,occasionnel,33073,residentiel,1,6,29,10
139.0,2.0,0.2,0.197,0.64,0.194,4.0,13.0,17.0,moyen,occasionnel,97306,residentiel,5,5,60,5
140.0,2.0,0.2,0.197,0.69,0.2239,2.0,5.0,7.0,faible,frequent,48118,commercial,1,4,33,8
8678.806666277509,2.0,0.2,0.197,0.69,0.2239,0.0,1.0,1.0,moyen,occasionnel,30188,residentiel,1,8,55,5
142.0,2.0,0.2,0.2121,0.69,0.1343,0.0,1.0,1.0,moyen,occasionnel,93965,commercial,3,7,88,8
143.0,3.0,0.22,0.2727,0.55,0.0,0.0,5.0,5.0,élevé,frequent,91043,commercial,4,10,11,6
144.0,2.0,0.2,0.2576,0.69,0.0,8.0,26.0,34.0,faible,frequent,29190,commercial,3,6,78,9
145.0,1.0,0.2,0.2121,0.69,0.1343,8.0,76.0,84.0,moyen,frequent,71865,residentiel,1,1,24,2
146.0,1.0,0.2,0.197,0.51,0.2537,20.0,190.0,189.44106486076245,élevé,occasionnel,47124,residentiel,3,8,24,7
147.0,1.0,0.2,0.1818,0.47,0.2985,9.0,125.0,134.0,faible,frequent,38168,residentiel,2,3,34,3
148.0,1.0,0.22,0.197,0.37,0.3284,35.62439423133065,47.0,63.0,faible,occasionnel,74351,residentiel,4,5,54,7
149.0,2.0,0.2,0.197,0.4,0.2239,19.0,48.0,67.0,moyen,frequent,53573,residentiel,4,10,81,2
150.0,2.0,0.2,0.197,0.37,0.2537,9.0,50.0,59.0,faible,frequent,67791,residentiel,1,5,20,4
151.0,2.0,0.2,0.1818,0.37,0.2836,9.0,64.0,73.0,faible,frequent,28793,commercial,4,1,39,7
152.0,2.0,0.2,0.197,0.4,0.2537,7.0,43.0,50.0,faible,occasionnel,81817,commercial,2,2,54,9
153.0,2.0,0.2,0.2121,0.37,0.1642,9.0,63.0,72.0,élevé,occasionnel,64953,residentiel,3,3,12,6
154.0,2.0,0.2,0.2121,0.37,0.1642,5.0,82.0,87.0,moyen,frequent,84337,commercial,5,2,25,7
155.0,2.0,0.2,0.2576,0.37,0.0,9.0,178.0,187.0,moyen,frequent,33979,residentiel,4,10,26,6
156.0,1.0,0.2,0.2273,0.4,0.0896,7.0,116.0,123.0,moyen,occasionnel,58677,commercial,5,9,35,5
157.0,1.0,0.16,0.197,0.55,0.0896,3.0,92.0,95.0,élevé,occasionnel,51226,residentiel,2,1,14,7
158.0,1.0,0.18,0.2121,0.47,0.1045,1.0,50.0,51.0,faible,occasionnel,99596,residentiel,3,2,19,4
159.0,1.4258026853473438,0.18,0.197,0.6267715067854855,0.1343,0.0,39.0,39.0,élevé,frequent,94843,residentiel,1,6,96,1
160.0,2.0,0.18,0.197,0.43,0.1642,2.0,34.0,36.0,moyen,frequent,91163,commercial,2,4,44,2
161.0,2.0,0.18,0.197,0.51,0.1642,1.0,14.0,15.0,faible,occasionnel,84591,commercial,5,4,52,7
162.0,2.0,0.18,0.197,0.51,0.1642,1.0,24.0,25.0,faible,frequent,82048,residentiel,1,9,6,3
163.0,2.0,0.18,0.2121,0.55,0.0896,1.0,15.0,16.0,faible,frequent,75957,commercial,4,7,70,7
164.0,2.0,0.18,0.2424,0.55,0.0,3.0,13.0,16.0,faible,occasionnel,98510,residentiel,2,5,21,2
165.0,3.0,0.18,0.197,0.55,0.1642,0.0,7.0,7.0,faible,occasionnel,37754,residentiel,4,3,78,8
166.0,3.0,0.18,0.197,0.55,0.1642,0.0,1.0,1.0,élevé,frequent,31127,commercial,3,8,33,9
167.0,2.0,0.16,0.1667,0.74,0.1642,0.0,5.0,5.0,faible,frequent,49698,residentiel,3,3,18,6
168.0,2.0,0.16,0.1667,0.74,0.1642,0.0,2.0,189.44106486076245,moyen,occasionnel,64932,commercial,4,4,65,6
169.0,2.0,0.16,0.1818,0.74,0.1045,1.0,8.0,9.0,moyen,occasionnel,31625,residentiel,1,5,69,5
170.0,3.0,0.16,0.1818,0.93,0.1045,0.0,15.0,15.0,élevé,occasionnel,50626,commercial,4,6,97,1
171.0,3.0,0.16,0.1818,0.93,0.1045,0.0,20.0,20.0,moyen,occasionnel,40385,residentiel,2,4,14,5
172.0,2.0,0.18,0.197,0.8,0.1642,5.0,56.0,61.0,faible,occasionnel,94870,residentiel,3,9,16,6
173.0,2.0,0.2,0.1818,0.69,0.3881,2.0,60.0,62.0,élevé,occasionnel,43381,commercial,4,6,52,7
174.0,2.0,0.2,0.1818,0.59,0.3582,8.0,90.0,98.0,faible,frequent,80154,residentiel,4,2,47,4
175.0,1.0,0.2,0.1818,0.44,0.3284,7.0,95.0,102.0,élevé,frequent,59874,residentiel,1,3,86,1
176.0,1.0,0.2,0.1667,0.32,0.4925,12.0,83.0,95.0,faible,frequent,24116,residentiel,1,5,51,6
177.0,1.0,0.2,0.1667,0.32,0.4478,5.0,69.0,74.0,moyen,frequent,44460,commercial,5,1,89,8
178.0,1.0,0.18,0.1364,0.29,0.4478,8.0,68.0,76.0,élevé,occasionnel,32839,commercial,5,3,85,6
179.0,1.0,0.16,0.1212,0.37,0.5522,5.0,64.0,69.0,moyen,frequent,25531,commercial,3,10,48,4
180.0,1.0,0.14,0.1212,0.39,0.2985,3.0,52.0,55.0,faible,frequent,96942,residentiel,3,2,1,9
181.0,1.0,0.14,0.1212,0.36,0.2537,4.0,26.0,30.0,faible,occasionnel,81715,residentiel,5,7,59,3
182.0,1.0,0.12,0.1212,0.36,0.2537,0.0,28.0,28.0,moyen,occasionnel,69399,residentiel,3,6,74,8
183.0,1.0,0.12,0.1061,0.39,0.3582,2.0,35.0,37.0,moyen,occasionnel,80352,commercial,1,6,24,1
184.0,1.4258026853473438,0.12,0.1061,0.36,0.3881,1.0,33.0,34.0,faible,occasionnel,44649,commercial,4,6,35,9
185.0,1.0,0.1,0.0606,0.39,0.4478,0.0,22.0,22.0,moyen,frequent,22091,commercial,2,7,38,1
186.0,1.0,0.1,0.0758,0.42,0.3881,1.0,24.0,25.0,faible,frequent,33104,residentiel,2,8,55,5
187.0,1.0,0.1,0.0606,0.42,0.4627,0.0,12.0,12.0,faible,occasionnel,98908,residentiel,2,9,96,9
188.0,1.0,0.1,0.0606,0.46,0.4627,0.0,11.0,11.0,faible,frequent,47882,residentiel,4,8,5,5
189.0,1.4258026853473438,0.1,0.0758,0.46,0.4179,0.0,4.0,4.0,moyen,occasionnel,92672,residentiel,5,1,54,10
190.0,1.0,0.08,0.0909,0.53,0.194,0.0,1.0,1.0,élevé,occasionnel,36138,residentiel,4,4,26,5
191.0,1.0,0.08,0.0909,0.53,0.194,0.0,1.0,1.0,moyen,occasionnel,25297,residentiel,5,5,92,6
192.0,1.0,0.1,0.0909,0.49,0.2836,0.0,1.0,1.0,moyen,frequent,45886,commercial,5,5,59,6
193.0,1.0,0.08,0.4760846711064376,0.53,0.194,1.0,5.0,6.0,faible,frequent,45748,commercial,4,8,86,2
194.0,1.0,0.1,0.0909,0.49,0.2836,0.0,10.0,10.0,faible,occasionnel,33523,residentiel,1,1,23,1
195.0,1.0,0.12,0.0758,0.46,0.5224,0.0,19.0,19.0,moyen,occasionnel,47589,residentiel,5,3,55,3
196.0,1.0,0.14,0.1061,0.43,0.3881,0.0,49.0,49.0,élevé,frequent,44642,commercial,1,2,90,9
197.0,1.0,0.16,0.1212,0.4,0.5224,2.0,47.0,49.0,moyen,occasionnel,28771,residentiel,1,3,19,6
198.0,1.0,0.18,0.1364,0.37,0.4478,4.0,79.0,83.0,moyen,occasionnel,49270,commercial,3,1,33,6
199.0,1.0,0.2,0.1667,0.34,0.4478,6.0,69.0,75.0,faible,occasionnel,84317,residentiel,2,2,44,6
200.0,1.0,0.22,0.1818,0.32,0.4627,8.0,64.0,72.0,élevé,frequent,87795,residentiel,1,4,98,2
201.0,1.0,0.22,0.197,0.35,0.3582,5.0,77.0,82.0,élevé,occasionnel,53836,residentiel,2,7,64,10
8678.806666277509,1.0,0.2,0.1667,0.34,0.4478,13.0,79.0,92.0,moyen,occasionnel,67593,commercial,1,10,4,1
203.0,1.0,0.18,0.1515,0.37,0.3881,3.0,59.0,62.0,faible,frequent,46807,residentiel,2,7,71,8
204.0,1.0,0.16,0.1364,0.4,0.3284,4.0,44.0,48.0,faible,frequent,73073,residentiel,3,2,82,1
205.0,1.0,0.16,0.1364,0.43,0.3284,1.0,40.0,41.0,moyen,occasionnel,73530,residentiel,3,7,26,5
206.0,1.0,0.14,0.1212,0.46,0.2537,0.0,38.0,38.0,élevé,frequent,38834,commercial,2,4,94,4
207.0,1.0,0.14,0.1061,0.46,0.4179,1.0,19.0,20.0,moyen,frequent,77040,commercial,2,1,17,8
208.0,1.0,0.14,0.1212,0.46,0.2985,5.0,10.0,15.0,faible,occasionnel,24005,commercial,4,9,7,4
209.0,1.0,0.12,0.1364,0.5,0.194,0.0,6.0,6.0,moyen,occasionnel,43943,commercial,1,1,3,2
210.0,1.0,0.4973845615671642,0.1212,0.5,0.2836,2.0,3.0,5.0,faible,frequent,71077,commercial,4,5,24,4
211.0,1.0,0.12,0.1212,0.5,0.2836,1.0,0.0,1.0,faible,frequent,46139,residentiel,5,6,93,10
212.0,1.0,0.12,0.1212,0.5,0.2239,0.0,3.0,3.0,faible,frequent,72526,commercial,2,7,7,8
213.0,1.0,0.12,0.1212,0.5,0.2239,0.0,1.0,1.0,élevé,frequent,25814,commercial,1,9,36,3
214.0,1.0,0.1,0.1212,0.54,0.1343,1.0,2.0,3.0,faible,occasionnel,71236,residentiel,3,1,68,4
215.0,1.0,0.1,0.1061,0.54,0.2537,0.0,3.0,3.0,faible,frequent,45870,residentiel,5,10,22,4
216.0,1.0,0.12,0.1212,0.5,0.2836,0.0,31.0,31.0,faible,frequent,53382,commercial,1,2,71,5
217.0,1.0,0.12,0.1212,0.6267715067854855,0.2239,2.0,75.0,77.0,moyen,frequent,95929,residentiel,1,7,23,10
218.0,2.0,0.12,0.1212,0.5,0.2836,4.0,184.0,188.0,moyen,occasionnel,67145,commercial,5,2,37,6
219.0,2.0,0.14,0.1212,0.5,0.2537,2.0,92.0,94.0,faible,occasionnel,92324,residentiel,3,5,7,10
220.0,2.0,0.14,0.1212,0.5,0.2985,0.0,31.0,31.0,moyen,frequent,48824,residentiel,3,8,36,1
221.0,2.0,0.16,0.1364,0.47,0.2836,2.0,28.0,30.0,faible,frequent,88383,residentiel,2,6,77,5
